id,deep,deep_allowed,deepNet,result,ppda_cal,allowed_ppda,ppdaNet,HS.x,HST.x,HF.x,HC.x,HY.x,HR.x,AS.x,AST.x,AF.x,AC.x,AY.x,AR.x,ShotNet,STNet,FNet,CNet,YNet,RNet,HtrgPerc,AtrgPerc,PercNet
1,11,5,6,w,5.942857143,21.45454545,-15.51168831,15,7,9,11,0,0,12,5,9,2,2,0,3,2,0,9,-2,0,0.466666667,0.416666667,0.05
2,5,11,-6,l,21.45454545,5.942857143,15.51168831,15,7,9,11,0,0,12,5,9,2,2,0,3,2,0,9,-2,0,0.466666667,0.416666667,0.05
3,9,1,8,w,6.935483871,16.4,-9.464516129,5,3,6,1,2,0,14,9,13,1,2,0,-9,-6,-7,0,0,0,0.6,0.642857143,-0.042857143
4,1,9,-8,l,16.4,6.935483871,9.464516129,5,3,6,1,2,0,14,9,13,1,2,0,-9,-6,-7,0,0,0,0.6,0.642857143,-0.042857143
5,4,6,-2,d,13.6,9.133333333,4.466666667,13,3,10,3,2,0,8,3,19,4,1,0,5,0,-9,-1,1,0,0.230769231,0.375,-0.144230769
6,5,7,-2,w,11.5,9.785714286,1.714285714,11,3,15,5,0,0,5,3,11,2,1,0,6,0,4,3,-1,0,0.272727273,0.6,-0.327272727
7,0,9,-9,w,9.277777778,5.5,3.777777778,10,4,6,2,0,0,11,3,12,7,0,0,-1,1,-6,-5,0,0,0.4,0.272727273,0.127272727
8,5,5,0,d,11.30769231,4.074074074,7.233618236,6,2,16,6,2,0,10,3,14,2,1,1,-4,-1,2,4,1,-1,0.333333333,0.3,0.033333333
9,5,5,0,d,4.074074074,11.30769231,-7.233618236,6,2,16,6,2,0,10,3,14,2,1,1,-4,-1,2,4,1,-1,0.333333333,0.3,0.033333333
10,6,4,2,d,9.133333333,13.6,-4.466666667,13,3,10,3,2,0,8,3,19,4,1,0,5,0,-9,-1,1,0,0.230769231,0.375,-0.144230769
11,9,0,9,l,5.5,9.277777778,-3.777777778,10,4,6,2,0,0,11,3,12,7,0,0,-1,1,-6,-5,0,0,0.4,0.272727273,0.127272727
12,7,5,2,l,9.785714286,11.5,-1.714285714,11,3,15,5,0,0,5,3,11,2,1,0,6,0,4,3,-1,0,0.272727273,0.6,-0.327272727
13,2,15,-13,l,13.42105263,5.25,8.17105263,31,7,13,14,1,0,7,4,9,0,0,0,24,3,4,14,1,0,0.225806452,0.571428571,-0.345622119
14,15,2,13,w,5.25,13.42105263,-8.17105263,31,7,13,14,1,0,7,4,9,0,0,0,24,3,4,14,1,0,0.225806452,0.571428571,-0.345622119
15,10,1,9,w,11.05263158,13.20689655,-2.15426497,9,2,12,5,1,0,8,2,7,3,3,0,1,0,5,2,-2,0,0.222222222,0.25,-0.027777778
16,7,3,4,d,6.434782609,18.66666667,-12.23188406,15,1,3,12,0,0,8,2,13,3,2,0,7,-1,-10,9,-2,0,0.066666667,0.25,-0.183333333
17,1,10,-9,l,13.20689655,11.05263158,2.15426497,9,2,12,5,1,0,8,2,7,3,3,0,1,0,5,2,-2,0,0.222222222,0.25,-0.027777778
18,3,7,-4,d,18.66666667,6.434782609,12.23188406,15,1,3,12,0,0,8,2,13,3,2,0,7,-1,-10,9,-2,0,0.066666667,0.25,-0.183333333
19,4,8,-4,l,6.452380952,9.064516129,-2.612135177,11,5,15,3,3,0,18,7,13,5,4,0,-7,-2,2,-2,-1,0,0.454545455,0.388888889,0.065656566
20,8,4,4,w,9.064516129,6.452380952,2.612135177,11,5,15,3,3,0,18,7,13,5,4,0,-7,-2,2,-2,-1,0,0.454545455,0.388888889,0.065656566
21,8,4,4,w,5.3125,11.38461538,-6.07211538,16,9,13,10,2,0,18,5,11,7,1,0,-2,4,2,3,1,0,0.5625,0.277777778,0.284722222
22,4,8,-4,l,11.38461538,5.3125,6.07211538,16,9,13,10,2,0,18,5,11,7,1,0,-2,4,2,3,1,0,0.5625,0.277777778,0.284722222
23,12,9,3,l,13,10.72,2.28,22,7,10,10,0,0,12,4,13,5,2,0,10,3,-3,5,-2,0,0.318181818,0.333333333,-0.015151515
24,9,12,-3,w,10.72,13,-2.28,22,7,10,10,0,0,12,4,13,5,2,0,10,3,-3,5,-2,0,0.318181818,0.333333333,-0.015151515
25,8,4,4,d,5.485714286,8.870967742,-3.385253456,16,4,11,8,0,0,8,3,10,6,2,0,8,1,1,2,-2,0,0.25,0.375,-0.125
26,4,3,1,w,8.863636364,3.925,4.938636364,12,2,11,4,2,0,8,2,11,7,3,0,4,0,0,-3,-1,0,0.166666667,0.25,-0.083333333
27,6,1,5,w,9.428571429,12,-2.571428571,14,3,10,5,2,0,15,6,6,9,1,0,-1,-3,4,-4,1,0,0.214285714,0.4,-0.185714286
28,6,9,-3,l,17.5,13.92857143,3.57142857,15,8,9,7,1,0,10,3,11,5,3,0,5,5,-2,2,-2,0,0.533333333,0.3,0.233333333
29,9,6,3,w,13.92857143,17.5,-3.57142857,15,8,9,7,1,0,10,3,11,5,3,0,5,5,-2,2,-2,0,0.533333333,0.3,0.233333333
30,1,6,-5,l,12,9.428571429,2.571428571,14,3,10,5,2,0,15,6,6,9,1,0,-1,-3,4,-4,1,0,0.214285714,0.4,-0.185714286
31,3,4,-1,l,3.925,8.863636364,-4.938636364,12,2,11,4,2,0,8,2,11,7,3,0,4,0,0,-3,-1,0,0.166666667,0.25,-0.083333333
32,4,8,-4,d,8.870967742,5.485714286,3.385253456,16,4,11,8,0,0,8,3,10,6,2,0,8,1,1,2,-2,0,0.25,0.375,-0.125
33,10,2,8,d,8.976744186,47.14285714,-38.16611295,30,10,14,13,1,0,3,2,4,2,0,0,27,8,10,11,1,0,0.333333333,0.666666667,-0.333333334
34,2,10,-8,d,47.14285714,8.976744186,38.16611295,30,10,14,13,1,0,3,2,4,2,0,0,27,8,10,11,1,0,0.333333333,0.666666667,-0.333333334
35,5,2,3,l,11.6,11.12,0.48,15,3,16,8,3,0,6,4,11,4,1,0,9,-1,5,4,2,0,0.2,0.666666667,-0.466666667
36,2,5,-3,w,11.12,11.6,-0.48,15,3,16,8,3,0,6,4,11,4,1,0,9,-1,5,4,2,0,0.2,0.666666667,-0.466666667
